Batch,LOG_DATE,LINE,SKU,MAIN_DRIVE_1_SPEED,MAIN_DRIVE_2_SPEED,CHAIN_SPEED,ACID_TANK_1,ACID_TANK_2,RINSING_TANK_1,RINSING_TANK_2,ALKALINE_TANK_1,ALKALINE_TANK_2,RINSING_TANK_3,RINSING_TANK_4,RINSING_TANK_5,FORMER_OVEN,COAGULANT_TANK_SIDE_A,COAGULANT_TANK_SIDE_B,COAGULANT_OVEN_1,COAGULANT_OVEN_2,LATEX_TANK_1_SIDE_A,LATEX_TANK_1_SIDE_B,LATEX_1_OVEN_1,LATEX_1_OVEN_2,LATEX_TANK_2_SIDE_A,LATEX_TANK_2_SIDE_B,LATEX_2_OVEN,PRE_LEACH_TANK_01,PRE_LEACH_TANK_02,PRE_LEACH_TANK_03,PRE_LEACH_TANK_04,PRE_LEACH_TANK_05,PRE_LEACH_TANK_06,PRE_LEACH_TANK_07,PRE_LEACH_TANK_08,PRE_LEACH_TANK_09,PRE_LEACH_OVEN,WET_OVEN_1,WET_OVEN_2,WET_OVEN_3,WET_OVEN_4,DRY_OVEN_1,DRY_OVEN_2,DRY_OVEN_3,DRY_OVEN_4,COOLING_TANK_01,COOLING_TANK_02,COOLING_TANK_03,COOLING_TANK_04,COOLING_TANK_05,CHLORINATION_TANK,SOAK_TANK,NEUTRALIZER_TANK_01,NEUTRALIZER_TANK_02,POST_LEACH_TANK_04,POST_LEACH_TANK_03,POST_LEACH_TANK_02,POST_LEACH_TANK_01,POST_LEACH_OVEN,LN_TANK,FINAL_CURING_OVEN_1,FINAL_CURING_OVEN_2,COAGULANT_OVEN_RH,COAGULANT_OVEN_RH_1,WET_OVEN_RH,WET_OVEN_RH_1,WET_OVEN_RH_2,WET_OVEN_RH_3,FINAL_CURING_OVEN_RH,FINAL_CURING_OVEN_RH_1,Fail,Pass,result,target
11,2/5/2020,A06,N32KCL,1214.865418,1213.897522,150,60.01975632,59.89836502,59.95755386,60.13999367,59.90486145,59.91411782,58.77189255,59.98249054,57.32577705,73.6379509,52.1066742,53.07401467,84.4583664,84.34346771,34.76467514,29.222188,115.5067406,114.8185539,34.06616021,32.2829361,90.21483994,60.09180641,59.99557114,59.90273858,59.91198349,59.99707032,37.39214707,60.12918091,60.06499672,61.19882584,70.02490235,90.51420212,89.96497727,90.78606797,90.95511627,91.84678269,90.90776062,90.7589531,91.49762345,65.82445526,54.74353981,50.27717591,45.69047737,39.92585182,38.72700882,37.31310463,35.3061409,39.142622,65.94898987,49.43554115,65.7948494,59.25247193,106.4230804,54.63016892,110.869278,110.2653771,7.284770966,10.21314287,12.27553463,16.44551754,19.15934468,21.64757824,7.518046618,11.31572628,4,36,Pass,1
12,2/6/2020,A01,N32KCL,1252.417237,1253.949036,154.4749985,59.98150063,59.94576836,60.06423378,60.09543992,59.83121872,59.82088852,60.84651756,60.07325364,59.94844246,70.05644226,51.66671563,50.15662003,88.87050629,88.60083771,32.41535187,34.3967247,124.3812523,125.2610627,33.15685654,32.47362328,91.50228501,60.02035904,60.04499627,60.03238487,59.96940041,60.11063195,34.28502655,60.08796502,60.27350616,59.66316986,75.90705109,90.07419586,90.36797333,90.1525116,89.33187103,90.06390763,90.43945313,91.55574036,90.5463295,65.10653687,56.38282395,47.60811043,45.06889343,41.20915223,37.04693222,35.44932747,34.14141083,39.96366692,65.80499268,65.0786705,65.208992,64.77698135,109.5805779,43.38560486,108.3714066,104.1146431,7.477929831,10.39023209,12.46395731,16.12921524,19.14369965,21.57586289,7.604004145,11.42838192,2,37,Pass,1
13,2/6/2020,A02,N32WHT,1319.86084,1317.410096,163,60.0323906,59.96557999,59.95368386,59.93153954,59.85335922,59.89922142,61.27973557,59.96059036,60.08127404,70.50490952,54.04992676,53.05400086,83.6170845,84.13430787,32.35979462,31.81129456,109.7387314,110.0860214,30.81675243,31.22377491,89.7759552,60.36525345,59.99987603,59.89637185,59.95289994,60.05752755,33.69340134,48.35944557,60.11907196,59.93276787,86.48887635,94.4889679,96.33900833,94.57136155,94.25187302,95.73032761,96.65966416,95.46818543,95.27545929,73.23717881,57.83584404,51.91166115,45.86522675,42.26588059,36.24517441,35.05033493,34.00615501,38.68673516,65.1286583,65.23353577,65.23344803,61.09089661,109.2773247,45.19242478,110.2175827,109.6217499,7.477929831,10.39023209,12.46395731,16.12921524,19.14369965,21.57586289,7.604004145,11.42838192,5,27,Pass,1
14,2/6/2020,A03,N37CBB,1412.3844,1408.140869,174.1833344,60.0297966,59.96822167,60.16546059,59.30484581,59.91172219,59.80265617,60.16404725,60.34171295,60.01591111,70.7222023,53.98276138,53.17562485,90.28831482,90.37752152,34.65596772,33.94635201,105.2841873,107.8437157,34.33680153,32.72567177,89.43169785,60.08804322,60.03702545,60.0282383,60.0012455,59.99097825,38.38829041,60.14893914,59.98544693,60.07592583,85.7478447,94.63766861,94.3876648,95.00465012,94.83121872,94.94338608,95.4794159,95.35732269,95.22844315,70.76585389,63.06621361,54.69692231,50.1181469,45.85922814,38.40655136,36.5464325,34.03962708,39.55483627,66.06191636,64.04755402,64.76756668,59.05750656,110.6788788,52.68210983,111.2895203,109.9286995,7.477929831,10.39023209,12.46395731,16.12921524,19.14369965,21.57586289,7.604004145,11.42838192,5,42,Pass,1
15,2/6/2020,A04,N37CBB,1452.413819,1450.552796,179.0166626,60.08195877,60.02941132,59.96361542,59.74423218,59.85217857,59.8333416,56.64815903,59.98943329,61.4972477,70.13629913,54.32581139,53.09004021,88.33410263,88.46605683,33.82881928,34.38019371,109.7956391,111.4508858,34.14249039,34.58891106,90.31775665,60.09079743,59.97875595,60.00601769,59.92786789,60.11286163,37.74375344,60.06645966,60.04771233,60.11324501,75.64132309,90.18564988,89.89650345,89.98923493,90.53899002,90.11828995,87.18967438,90.59726715,89.06453705,67.40257645,59.41643333,55.5657444,49.17292595,44.83181763,37.69355965,36.38150979,34.78030014,39.97962761,65.29160309,64.98149491,65.78162384,62.28034401,109.5133247,49.71853066,109.2272339,111.5876045,7.477929831,10.39023209,12.46395731,16.12921524,19.14369965,21.57586289,7.604004145,11.42838192,4,44,Pass,1
16,2/6/2020,A05,N32WHT,1292.363159,1290.286133,159.4666595,59.87689209,60.17398071,59.97639465,60.09635925,59.82839966,59.81465149,59.77986908,57.6078186,56.71812439,70.22605133,53.13308334,54.29930115,94.95746613,94.23425293,32.89606857,34.70142365,118.3751526,118.4674225,33.27662659,34.40877533,90.93364716,59.68718338,60.04894257,61.17602539,60.02580261,60.02524567,40.39233398,60.10522079,60.02231979,60.20241165,70.31318665,99.72636414,99.7739563,99.94267273,99.89488983,100.3639679,100.7005463,100.519043,99.92790985,72.67329407,61.89554596,54.33969498,49.82780457,39.97985458,40.21002197,38.55472565,34.6265564,40.56025696,65.9901886,65.14482117,63.74054718,47.14400864,106.0213089,53.30429077,110.0795898,109.8866119,7.335168839,10.31994724,12.14351559,15.90383053,18.70763588,20.82177544,7.576262951,11.88464832,15,26,Pass,1
17,2/6/2020,A06,N32KCL,1214.878113,1213.959778,150,59.99738884,59.92056847,59.97651101,60.14146233,59.91078377,59.90577507,58.77849198,59.95433045,57.68113899,73.64321137,52.2039299,52.93558312,84.48189164,84.33586121,34.63891793,29.30692578,115.5496674,114.8522149,34.12215424,32.18219757,90.22330857,60.10063744,60.04070282,59.89086342,59.99959564,59.97351265,37.91386795,60.20360756,60.10988045,60.21633912,70.03813553,90.54187012,89.97836685,90.77475357,90.98303223,92.28697586,90.91385269,90.66879273,91.79442978,65.63693619,54.87210464,50.56854248,46.02161789,39.94778633,38.79391289,37.29258919,35.69694329,39.07948304,66.07639694,48.73740387,65.83999253,59.8950119,106.3961068,54.80779839,110.9409981,110.2775269,7.477929831,10.39023209,12.46395731,16.12921524,19.14369965,21.57586289,7.604004145,11.42838192,3,38,Pass,1
18,2/7/2020,A01,N32KCL,1252.195435,1253.272034,154.4499969,59.90481949,59.95881081,60.13397408,60.03470421,59.866539,59.82357788,60.38226318,60.03227043,59.92605019,70.06119538,51.4262619,50.11997223,88.89625931,88.62107849,32.43387795,34.52873039,124.3906517,125.2927017,33.40273476,32.73053742,91.52778244,60.00779152,60.06679726,60.03349305,60.01826096,60.133461,34.74240112,60.09485817,60.21519089,59.720644,75.90839768,90.09592057,90.37735748,90.13471985,89.32250214,90.07675552,90.44401551,91.54918671,90.54916382,65.33569336,56.50595284,47.72159958,45.13990403,41.30141831,37.23536301,35.73706818,34.50057793,40.62480927,65.91539002,65.11101914,65.19558716,64.74183274,109.5825768,43.67813111,108.2529831,104.1277809,7.546398401,10.48912764,12.50524617,16.3974495,19.09268093,21.37968827,7.506780148,11.33491803,0,42,Pass,1
19,2/7/2020,A02,N32WHT,1319.849182,1315.335449,163,59.91072655,59.99513436,59.9658699,59.89492798,59.85732842,59.89930535,61.21448136,59.99541092,60.0125618,70.5244751,53.98882866,53.09019852,83.60694123,84.12588883,32.48188782,31.84924984,109.6512604,109.942337,31.95585537,32.49122429,89.7815857,60.44940949,60.0466938,60.01022148,60.02851487,60.12600899,34.04612732,59.16295624,59.96108628,59.91070366,86.46879197,94.45582581,96.15813446,94.53838349,93.73568344,95.73319626,96.78347397,95.36286545,95.25675965,73.39805603,58.08824158,52.82980156,46.70471955,43.12104416,36.60940171,35.49842262,34.43242073,39.62421608,65.16255951,65.13982392,65.20448685,61.39451218,109.2978668,45.3201809,110.2532959,109.632042,7.546398401,10.48912764,12.50524617,16.3974495,19.09268093,21.37968827,7.506780148,11.33491803,4,40,Pass,1
20,2/7/2020,A03,N37CBB,1412.324707,1411.213135,174.1750031,60.04728127,59.89250374,60.17037011,59.34954262,59.84061814,59.87476921,60.08206749,60.6168499,59.99891281,70.66755295,53.93545723,53.16248703,90.30229187,90.37965775,34.66864205,33.99293137,109.1874543,110.9405632,34.3230362,32.69563294,89.45040131,60.08702088,60.03524209,60.0700779,60.02047348,60.02574158,38.4087162,60.40506554,59.9976902,60.0566063,85.75291825,94.64743805,94.39174652,94.99572373,94.87076569,94.94507599,95.49640274,95.35703278,95.23337936,70.85829544,63.29689217,54.89314461,50.24303818,46.00133324,38.60175705,36.8363781,34.31705857,40.17202759,66.04846191,63.26552773,64.58260727,58.4879818,110.6983834,48.66632271,111.2749291,109.8924141,7.546398401,10.48912764,12.50524617,16.3974495,19.09268093,21.37968827,7.506780148,11.33491803,8,40,Pass,1
